int_rate,loan_amnt,term,grade,home_ownership,annual_inc,purpose
10.65,27000,60,B,RENT,86400,debt_consolidation
10.65,2400,36,B,RENT,70000,debt_consolidation
12.42,30000,60,B,MORTGAGE,132996,debt_consolidation
6.62,14000,36,A,MORTGAGE,115200,debt_consolidation
7.90,10000,36,A,MORTGAGE,150000,small_business
12.42,1950,36,B,RENT,90000,debt_consolidation
9.91,2900,36,B,RENT,31200,credit_card
9.91,6000,36,B,MORTGAGE,40058,debt_consolidation
14.65,12800,60,C,RENT,33600,medical
9.91,9000,36,B,RENT,30000,debt_consolidation
10.65,12000,60,B,MORTGAGE,51600,debt_consolidation
19.42,30000,60,E,MORTGAGE,140000,debt_consolidation
7.90,2450,36,A,RENT,24000,credit_card
14.27,12000,60,C,MORTGAGE,42000,debt_consolidation
12.69,8850,36,B,RENT,30000,debt_consolidation
6.03,15000,36,A,OWN,57000,medical
11.71,5600,36,B,MORTGAGE,39000,debt_consolidation
16.77,20000,60,D,MORTGAGE,80000,debt_consolidation
17.27,18750,60,D,MORTGAGE,250000,debt_consolidation
15.96,4800,36,C,RENT,50000,car
6.03,6075,36,A,MORTGAGE,66300,major_purchase
19.03,27200,60,E,MORTGAGE,165000,debt_consolidation
16.77,9500,36,D,MORTGAGE,46000,credit_card
6.62,4200,36,A,MORTGAGE,108000,other
16.29,6000,36,D,RENT,26400,small_business
7.51,6300,36,A,RENT,54503,debt_consolidation
18.25,21300,60,D,MORTGAGE,74292.48,debt_consolidation
9.91,15000,36,B,RENT,57000,debt_consolidation
6.03,5000,36,A,RENT,37500,credit_card
17.27,3000,36,D,RENT,57996,other
11.71,5500,36,B,MORTGAGE,72060,debt_consolidation
17.27,16000,60,D,RENT,84000,major_purchase
10.65,20125,60,B,MORTGAGE,70000,other
7.51,5500,36,A,RENT,60000,car
7.90,4500,36,A,RENT,55000,small_business
15.27,15000,36,C,MORTGAGE,90000,debt_consolidation
20.30,30000,60,E,RENT,72996,debt_consolidation
9.91,25000,36,B,MORTGAGE,110000,credit_card
15.27,12000,60,C,MORTGAGE,102000,credit_card
9.91,11625,60,B,RENT,36000,vacation
12.42,13200,36,B,OWN,52000,house
6.62,5000,36,A,MORTGAGE,38000,credit_card
9.91,12000,36,B,RENT,50600,debt_consolidation
16.29,8000,36,D,RENT,56888,debt_consolidation
15.96,10000,36,C,RENT,39000,debt_consolidation
17.58,25000,60,D,RENT,81000,debt_consolidation
9.91,30000,36,B,OWN,80196,other
17.58,35000,36,D,MORTGAGE,305000,house
7.90,4700,36,A,RENT,41000,renewable_energy
10.65,1800,36,B,RENT,21000,other
6.03,7425,36,A,MORTGAGE,65000,debt_consolidation
12.69,25600,36,B,MORTGAGE,85000,debt_consolidation
19.91,4400,36,E,RENT,14400,credit_card
12.69,3600,36,B,RENT,31000,debt_consolidation
11.71,16000,36,B,RENT,40000,debt_consolidation
14.27,30750,60,C,MORTGAGE,62000,debt_consolidation
7.90,5000,36,A,MORTGAGE,35000,major_purchase
18.64,19575,60,E,RENT,34000,debt_consolidation
9.91,2100,36,B,RENT,105000,debt_consolidation
13.49,15000,36,C,RENT,42000,debt_consolidation
20.89,35000,60,F,MORTGAGE,127000,debt_consolidation
16.29,9000,36,D,RENT,45600,debt_consolidation
10.65,3000,36,B,RENT,51600,home_improvement
8.90,12000,36,A,RENT,93000,credit_card
14.27,1800,36,C,RENT,45000,debt_consolidation
7.90,10625,36,A,RENT,35000,debt_consolidation
20.89,18000,36,F,MORTGAGE,72000,credit_card
7.90,6400,36,A,OWN,27000,debt_consolidation
13.49,12000,36,C,RENT,65000,credit_card
15.27,18000,60,C,MORTGAGE,95000,credit_card
17.27,2600,60,D,MORTGAGE,95000,debt_consolidation
14.27,25000,60,C,MORTGAGE,129996,debt_consolidation
7.90,17500,36,A,RENT,75000,debt_consolidation
6.03,9600,36,A,MORTGAGE,60000,debt_consolidation
11.71,12000,36,B,RENT,38340,credit_card
12.69,8000,36,B,MORTGAGE,84996,debt_consolidation
18.25,12000,60,D,RENT,52000,debt_consolidation
8.90,4000,36,A,MORTGAGE,62400,car
17.27,24000,60,D,MORTGAGE,119004,home_improvement
10.65,6400,36,B,RENT,65000,debt_consolidation
13.49,31150,60,C,MORTGAGE,110000,debt_consolidation
20.30,6700,60,E,RENT,87500,debt_consolidation
14.27,15000,36,C,RENT,34800,debt_consolidation
12.69,2200,36,B,RENT,38400,debt_consolidation
6.03,8000,36,A,MORTGAGE,120000,small_business
6.62,5600,36,A,RENT,38000,debt_consolidation
17.27,5000,36,D,RENT,60000,debt_consolidation
12.69,18225,60,B,MORTGAGE,51654.36,debt_consolidation
12.69,14125,60,B,OWN,60000,debt_consolidation
10.65,5000,36,B,RENT,49000,wedding
8.90,6000,60,A,MORTGAGE,48000,car
14.65,12000,60,C,MORTGAGE,81996,debt_consolidation
12.42,6000,36,B,OWN,68000,small_business
11.71,5000,36,B,MORTGAGE,70000,debt_consolidation
10.65,5000,36,B,RENT,35000,debt_consolidation
17.27,3000,36,D,RENT,46000,credit_card
16.29,7200,36,D,MORTGAGE,65000,debt_consolidation
9.91,9000,36,B,RENT,65000,credit_card
6.03,6200,36,A,RENT,65000,other
17.58,4000,36,D,RENT,50000,debt_consolidation
10.65,26000,60,B,OWN,84000,debt_consolidation
16.77,14000,36,D,MORTGAGE,145000,credit_card
11.71,15000,36,B,MORTGAGE,100000,debt_consolidation
7.90,2700,36,A,RENT,32000,debt_consolidation
7.90,21600,36,A,RENT,112140,debt_consolidation
12.42,13225,36,B,RENT,88000,credit_card
12.69,28000,60,B,MORTGAGE,105000,credit_card
11.71,20000,36,B,OWN,48000,debt_consolidation
9.91,3000,36,B,OWN,50000,wedding
9.91,12000,60,B,RENT,40000,small_business
6.03,16000,36,A,MORTGAGE,90000,debt_consolidation
16.77,5000,36,D,MORTGAGE,82000,debt_consolidation
19.91,2600,60,E,RENT,74400,debt_consolidation
12.69,20000,60,B,MORTGAGE,175000,home_improvement
7.90,32000,36,A,MORTGAGE,135000,debt_consolidation
6.03,7000,36,A,MORTGAGE,25200,debt_consolidation
12.42,4200,60,B,RENT,36960,car
22.06,19100,60,F,MORTGAGE,150000,other
19.42,30100,60,E,MORTGAGE,100000,home_improvement
7.90,8000,36,A,RENT,42672.48,debt_consolidation
19.42,20000,60,E,RENT,63240,debt_consolidation
9.91,2200,36,B,RENT,7200,major_purchase
10.65,6000,36,B,RENT,160000,debt_consolidation
16.77,14000,60,D,MORTGAGE,130000,credit_card
7.90,3000,36,A,OWN,18000,major_purchase
14.65,1000,36,C,RENT,25000,credit_card
20.30,35000,60,E,MORTGAGE,74000,debt_consolidation
19.91,19000,60,E,OWN,39000,debt_consolidation
15.96,15000,60,C,RENT,56000,debt_consolidation
19.42,12000,60,E,OWN,54000,house
15.96,1500,60,C,OWN,24960,debt_consolidation
16.29,4000,36,D,RENT,175000,other
16.77,11000,36,D,MORTGAGE,58000,home_improvement
7.90,20000,36,A,RENT,140000,credit_card
19.03,35000,60,E,MORTGAGE,192000,home_improvement
7.51,6000,36,A,MORTGAGE,62000,wedding
15.96,6300,36,C,RENT,50724,debt_consolidation
19.03,14000,60,E,MORTGAGE,43392,debt_consolidation
8.90,6000,36,A,RENT,23000,vacation
18.25,10000,36,D,MORTGAGE,95234,debt_consolidation
12.42,20000,60,B,RENT,60000,other
6.03,9200,36,A,OWN,56000,debt_consolidation
16.29,9975,36,D,RENT,79000,debt_consolidation
17.58,20000,60,D,MORTGAGE,100000,debt_consolidation
11.71,35000,60,B,MORTGAGE,51000,small_business
13.49,30000,60,C,RENT,82500,debt_consolidation
18.64,34000,60,E,MORTGAGE,72000,debt_consolidation
12.69,22750,60,B,MORTGAGE,43000,debt_consolidation
7.51,7750,36,A,OWN,21084,debt_consolidation
12.42,22400,36,B,MORTGAGE,110000,debt_consolidation
10.65,12000,60,B,MORTGAGE,133000,home_improvement
12.69,24600,60,B,MORTGAGE,43538,debt_consolidation
15.96,1500,60,C,MORTGAGE,45000,other
15.27,17000,36,C,MORTGAGE,75000,debt_consolidation
18.64,15000,60,E,MORTGAGE,65000,debt_consolidation
7.51,9600,36,A,MORTGAGE,71000,debt_consolidation
6.03,8600,36,A,MORTGAGE,53724,debt_consolidation
9.91,12025,60,B,MORTGAGE,97200,small_business
16.29,6400,36,D,MORTGAGE,58000,debt_consolidation
8.90,12800,36,A,RENT,40000,car
8.90,5400,36,A,MORTGAGE,47000,other
15.96,5000,36,C,RENT,98000,moving
7.90,9600,36,A,MORTGAGE,73000,home_improvement
6.62,8000,36,A,MORTGAGE,36000,credit_card
16.29,10000,36,D,OWN,36000,credit_card
16.77,7500,36,D,RENT,115000,wedding
16.77,14000,60,D,RENT,92700,credit_card
8.90,18000,36,A,MORTGAGE,99000,debt_consolidation
7.51,8325,36,A,RENT,26900,debt_consolidation
11.71,25000,60,B,RENT,150000,credit_card
7.51,7000,36,A,RENT,24000,debt_consolidation
15.27,9200,60,C,RENT,83200,small_business
7.90,6000,36,A,RENT,34039.08,debt_consolidation
8.90,18825,36,A,MORTGAGE,55530,debt_consolidation
12.42,35000,60,B,MORTGAGE,106000,debt_consolidation
9.91,5000,36,B,MORTGAGE,55000,home_improvement
17.27,8400,36,D,RENT,68926.08,medical
11.71,2500,36,B,MORTGAGE,32000,other
7.90,5000,36,A,RENT,85000,debt_consolidation
15.27,4200,36,C,MORTGAGE,65000,debt_consolidation
7.51,8500,36,A,OWN,25000,debt_consolidation
8.90,6000,36,A,MORTGAGE,71000,debt_consolidation
8.90,15350,36,A,MORTGAGE,45600,debt_consolidation
13.49,12000,36,C,RENT,75000,debt_consolidation
12.69,4200,60,B,MORTGAGE,51600,credit_card
18.64,32350,60,E,MORTGAGE,80000,debt_consolidation
11.71,5000,36,B,MORTGAGE,78000,other
12.69,35000,60,B,MORTGAGE,170000,debt_consolidation
7.90,7000,36,A,RENT,72000,wedding
13.49,2000,36,C,RENT,25209.6,debt_consolidation
6.03,12000,36,A,MORTGAGE,128000,medical
7.51,10200,36,A,RENT,132000,debt_consolidation
7.90,15000,36,A,OWN,36000,debt_consolidation
6.62,3000,36,A,RENT,35000,credit_card
11.71,15850,60,B,MORTGAGE,38720.64,debt_consolidation
6.62,16000,36,A,MORTGAGE,144000,debt_consolidation
7.90,24000,36,A,RENT,66000,debt_consolidation
6.62,14000,36,A,MORTGAGE,160000,debt_consolidation
11.71,7000,36,B,MORTGAGE,275000,other
16.77,5000,60,D,RENT,38004,debt_consolidation
13.49,5000,60,C,RENT,65000,other
11.71,2200,36,B,MORTGAGE,86015,home_improvement
6.03,7000,36,A,RENT,80000,vacation
19.42,11000,60,E,RENT,62400,car
9.91,7200,36,B,MORTGAGE,170000,credit_card
14.27,8400,60,C,MORTGAGE,72000,home_improvement
7.51,1900,36,A,MORTGAGE,72000,debt_consolidation
14.65,35000,60,C,RENT,72000,small_business
7.90,10000,36,A,RENT,40000,other
8.90,14500,36,A,MORTGAGE,125000,debt_consolidation
6.03,9100,36,A,MORTGAGE,42000,house
11.71,3500,60,B,MORTGAGE,44004,other
7.51,17000,36,A,RENT,55782,debt_consolidation
8.90,3000,36,A,RENT,48000,other
18.64,12600,60,E,RENT,43000,debt_consolidation
9.91,30000,60,B,RENT,130000,other
5.99,2200,36,A,RENT,14400,major_purchase
14.65,26375,60,C,MORTGAGE,78000,debt_consolidation
12.69,25600,36,B,RENT,120000,credit_card
11.71,9600,36,B,RENT,69996,debt_consolidation
12.42,35000,60,B,RENT,83000,major_purchase
6.62,7200,36,A,MORTGAGE,50000,debt_consolidation
6.62,12000,36,A,RENT,75000,other
12.42,15000,36,B,RENT,156000,wedding
11.71,10000,36,B,RENT,50000,credit_card
6.03,7600,36,A,MORTGAGE,30000,debt_consolidation
12.42,29300,60,B,MORTGAGE,65000,major_purchase
12.42,19600,60,B,RENT,50000,debt_consolidation
11.71,15000,36,B,RENT,40000,small_business
13.49,14800,60,C,OWN,60000,debt_consolidation
7.90,3000,36,A,MORTGAGE,45000,debt_consolidation
12.42,4000,36,B,RENT,21864,debt_consolidation
14.65,15000,36,C,RENT,28800,debt_consolidation
8.90,6000,36,A,MORTGAGE,52000,credit_card
12.42,25600,60,B,MORTGAGE,115000,debt_consolidation
8.90,15000,36,A,MORTGAGE,50000,debt_consolidation
6.03,15000,36,A,OWN,62000,credit_card
13.49,20000,60,C,RENT,96000,debt_consolidation
15.27,4000,36,C,MORTGAGE,44000,debt_consolidation
10.65,3000,36,B,MORTGAGE,67000,wedding
10.99,17000,60,B,RENT,50000,debt_consolidation
14.65,18000,36,C,RENT,60372,debt_consolidation
12.69,9000,36,B,RENT,86250,debt_consolidation
14.27,3825,36,C,RENT,29950,debt_consolidation
7.90,14000,36,A,RENT,82000,debt_consolidation
16.77,4000,60,D,MORTGAGE,54996,other
7.90,6000,36,A,RENT,25200,small_business
9.91,2350,36,B,RENT,14400,moving
7.90,3500,36,A,MORTGAGE,86964,other
17.27,8000,36,D,MORTGAGE,65000,debt_consolidation
9.91,1000,36,B,OWN,50000,medical
9.91,12000,36,B,RENT,36000,debt_consolidation
12.69,2400,36,B,MORTGAGE,92000,home_improvement
8.90,6100,36,A,MORTGAGE,50000,medical
12.69,6000,36,B,MORTGAGE,96000,debt_consolidation
13.49,15000,36,C,MORTGAGE,72000,debt_consolidation
6.62,12000,36,A,RENT,80000,car
8.90,15950,60,A,MORTGAGE,85200,car
6.62,8000,36,A,MORTGAGE,40000,debt_consolidation
19.03,4000,60,E,RENT,19200,debt_consolidation
17.58,25000,60,D,MORTGAGE,42000,house
13.49,7000,36,C,RENT,90000,debt_consolidation
7.90,25000,36,A,MORTGAGE,131004,major_purchase
14.65,7000,36,C,RENT,38000,medical
17.27,20000,60,D,MORTGAGE,291996,debt_consolidation
14.27,3000,36,C,RENT,70000,wedding
6.03,14000,36,A,RENT,105000,house
6.62,8000,36,A,RENT,164000,other
17.27,35000,60,D,RENT,100000,small_business
8.90,5000,36,A,RENT,32400,other
11.71,18000,60,B,MORTGAGE,125004,debt_consolidation
14.27,10000,36,C,RENT,90000,debt_consolidation
6.62,11000,36,A,MORTGAGE,80000,debt_consolidation
10.65,8000,36,B,OWN,36000,debt_consolidation
11.71,11000,36,B,OWN,45843.2,debt_consolidation
7.51,9000,36,A,MORTGAGE,52260,home_improvement
17.27,12000,60,D,RENT,32200,major_purchase
15.27,2500,36,C,MORTGAGE,104085,debt_consolidation
6.03,12000,36,A,RENT,53000,credit_card
11.99,10000,36,B,RENT,33000,debt_consolidation
9.91,10000,36,B,MORTGAGE,68000,home_improvement
8.90,15000,36,A,RENT,50000,debt_consolidation
12.69,3000,36,B,RENT,25000,debt_consolidation
6.62,1200,36,A,OWN,42000,vacation
12.42,20000,60,B,MORTGAGE,60000,debt_consolidation
9.91,14400,36,B,RENT,58000,debt_consolidation
6.62,15000,36,A,RENT,36000,wedding
6.03,10000,36,A,MORTGAGE,50000,small_business
11.71,30750,60,B,MORTGAGE,58000,credit_card
19.91,13300,60,E,MORTGAGE,48000,credit_card
6.62,12800,36,A,MORTGAGE,60000,debt_consolidation
14.27,9000,60,C,MORTGAGE,95004,debt_consolidation
16.77,14000,60,D,MORTGAGE,103000,debt_consolidation
13.49,8000,36,C,RENT,71000,debt_consolidation
6.62,9350,36,A,MORTGAGE,48500,other
12.69,7500,36,B,OWN,21000,credit_card
12.42,11200,36,B,MORTGAGE,71000,debt_consolidation
7.90,2975,36,A,RENT,49800,debt_consolidation
11.71,5000,36,B,MORTGAGE,64800,medical
12.69,9000,36,B,MORTGAGE,90000,credit_card
17.58,11000,60,D,RENT,37000,debt_consolidation
13.49,16000,60,C,MORTGAGE,57500,debt_consolidation
18.64,21000,60,E,MORTGAGE,55000,credit_card
19.91,18000,60,E,MORTGAGE,50000,debt_consolidation
10.65,5000,36,B,OWN,120000,car
18.64,35000,60,E,MORTGAGE,130000,debt_consolidation
8.90,5000,36,A,RENT,44004,debt_consolidation
10.65,20125,60,B,MORTGAGE,42000,debt_consolidation
9.91,4200,36,B,RENT,55000,moving
7.90,4800,36,A,RENT,40000,debt_consolidation
14.27,28000,60,C,MORTGAGE,120000,debt_consolidation
10.65,25000,60,B,MORTGAGE,75000,debt_consolidation
7.90,5100,36,A,MORTGAGE,30000,car
19.91,15600,60,E,RENT,123000,home_improvement
7.90,20000,36,A,RENT,54000,debt_consolidation
7.90,30000,36,A,MORTGAGE,84000,debt_consolidation
9.91,12000,60,B,MORTGAGE,55000,debt_consolidation
7.90,12000,36,A,RENT,75000,debt_consolidation
13.49,35000,60,C,OWN,90000,debt_consolidation
6.03,16000,36,A,MORTGAGE,67200,debt_consolidation
16.77,28250,36,D,MORTGAGE,120000,debt_consolidation
18.25,20000,60,D,RENT,84000,debt_consolidation
6.62,16000,36,A,MORTGAGE,75000,house
6.03,5000,36,A,MORTGAGE,115000,medical
15.96,18950,36,C,RENT,60000,debt_consolidation
16.77,12000,36,D,MORTGAGE,44004,home_improvement
14.27,1800,36,C,RENT,57000,major_purchase
16.77,30000,60,D,RENT,129000,debt_consolidation
6.62,2500,36,A,RENT,15889.2,debt_consolidation
10.65,25000,60,B,MORTGAGE,87500,debt_consolidation
22.74,8000,60,G,MORTGAGE,86400,debt_consolidation
10.65,28000,60,B,RENT,80000,credit_card
7.51,5000,36,A,MORTGAGE,92000,home_improvement
12.69,35000,60,B,MORTGAGE,208000,home_improvement
12.69,4200,36,B,MORTGAGE,120000,home_improvement
22.06,25875,60,F,RENT,60000,debt_consolidation
19.03,1500,36,E,RENT,64000,debt_consolidation
12.69,15250,60,B,RENT,29744,debt_consolidation
16.29,4000,36,D,RENT,32500,debt_consolidation
17.58,15000,60,D,MORTGAGE,112000,medical
11.71,15000,60,B,RENT,80000,major_purchase
9.91,6000,60,B,RENT,30000,other
6.03,12000,36,A,RENT,47000,credit_card
6.62,10625,36,A,MORTGAGE,40000,small_business
12.69,10000,36,B,MORTGAGE,43200,debt_consolidation
14.65,5500,36,C,RENT,73700,debt_consolidation
13.49,3500,36,C,RENT,79500,debt_consolidation
6.62,5000,36,A,MORTGAGE,40000,home_improvement
12.42,6200,36,B,RENT,46200,other
7.90,3000,36,A,RENT,39000,small_business
18.25,5000,60,D,OWN,24996,debt_consolidation
18.64,16000,60,E,RENT,91000,debt_consolidation
11.71,6000,36,B,RENT,45000,medical
15.96,30000,60,C,MORTGAGE,174996,other
11.71,6000,36,B,MORTGAGE,150792,home_improvement
14.27,15000,36,C,MORTGAGE,104000,debt_consolidation
15.27,6800,60,C,MORTGAGE,65000,debt_consolidation
20.30,15000,60,E,RENT,206000,debt_consolidation
13.49,19500,60,C,MORTGAGE,57600,home_improvement
10.65,25000,60,B,MORTGAGE,80000,debt_consolidation
13.49,13800,36,C,MORTGAGE,48000,other
11.71,2400,36,B,MORTGAGE,22000,home_improvement
13.49,12500,60,C,RENT,66000,debt_consolidation
14.27,1400,36,C,RENT,33000,medical
14.27,14125,60,C,RENT,39036.96,medical
6.03,12000,36,A,MORTGAGE,58608,debt_consolidation
10.65,17000,60,B,OWN,34000,small_business
18.64,24000,60,E,OWN,47000,other
15.27,7000,60,C,RENT,37500,other
17.58,12000,60,D,MORTGAGE,102000,debt_consolidation
10.65,4000,36,B,RENT,35000,wedding
11.71,6000,36,B,RENT,45000,debt_consolidation
7.51,7400,36,A,MORTGAGE,31075,debt_consolidation
18.25,10000,60,D,RENT,39996,debt_consolidation
6.03,12000,36,A,MORTGAGE,76000,debt_consolidation
10.65,14000,36,B,RENT,56000,house
7.90,20000,36,A,MORTGAGE,90000,debt_consolidation
18.64,23000,60,E,RENT,68000,debt_consolidation
10.65,7400,36,B,RENT,42000,debt_consolidation
11.71,30000,60,B,MORTGAGE,125000,debt_consolidation
18.64,7000,36,E,MORTGAGE,54000,medical
7.51,6000,36,A,MORTGAGE,130992,major_purchase
13.49,3600,36,C,MORTGAGE,43000,other
20.30,18200,60,E,MORTGAGE,52800,debt_consolidation
16.77,2500,60,D,RENT,50000,debt_consolidation
11.71,5000,36,B,RENT,35000,debt_consolidation
7.51,6000,36,A,RENT,125004,other
12.69,22800,36,B,OWN,43000,car
6.62,32000,36,A,OWN,350000,home_improvement
7.51,20000,36,A,RENT,50000,debt_consolidation
16.77,12800,60,D,OWN,50000,home_improvement
9.91,3600,36,B,MORTGAGE,46858.08,other
19.03,20000,60,E,RENT,50000,credit_card
6.03,14000,36,A,RENT,40000,other
13.49,6000,36,C,RENT,45000,debt_consolidation
9.99,28000,36,B,MORTGAGE,124800,credit_card
6.03,14000,36,A,RENT,180000,house
19.03,16000,60,E,RENT,32004,debt_consolidation
14.27,18800,60,C,RENT,33000,debt_consolidation
13.49,35000,60,C,MORTGAGE,60000,debt_consolidation
6.03,14000,36,A,MORTGAGE,85000,credit_card
7.90,4000,36,A,RENT,45000,debt_consolidation
10.65,5000,36,B,RENT,41600,other
7.90,4000,36,A,MORTGAGE,60000,medical
12.69,5000,36,B,RENT,145000,other
20.30,20000,60,E,MORTGAGE,65000,debt_consolidation
11.71,12000,60,B,OWN,30000,wedding
10.65,5000,36,B,RENT,43680,major_purchase
16.77,5300,60,D,OWN,24000,house
13.49,20000,60,C,RENT,65000,debt_consolidation
12.69,12000,36,B,MORTGAGE,154000,debt_consolidation
6.03,6000,36,A,RENT,60000,debt_consolidation
7.51,3000,36,A,MORTGAGE,37000,debt_consolidation
16.29,5000,36,D,RENT,50400,debt_consolidation
12.42,3500,36,B,RENT,66660,debt_consolidation
6.62,5150,36,A,MORTGAGE,111000,house
10.65,4800,36,B,MORTGAGE,36000,credit_card
18.64,13500,60,E,RENT,48000,debt_consolidation
16.29,7600,36,D,MORTGAGE,48000,debt_consolidation
7.51,20000,36,A,MORTGAGE,120000,home_improvement
10.65,11875,36,B,RENT,50000,medical
18.79,21725,60,E,RENT,50000,debt_consolidation
15.27,1400,36,C,RENT,58000,wedding
14.65,24625,60,C,MORTGAGE,48000,debt_consolidation
6.03,2400,36,A,MORTGAGE,39600,other
15.27,20000,36,C,MORTGAGE,90000,debt_consolidation
12.69,10000,36,B,RENT,157500,debt_consolidation
6.62,12000,36,A,RENT,48400,credit_card
14.65,4800,36,C,RENT,14400,car
8.90,12000,36,A,RENT,60000,debt_consolidation
7.90,15000,36,A,MORTGAGE,113698,debt_consolidation
12.42,25000,60,B,MORTGAGE,57500,debt_consolidation
6.62,12000,36,A,RENT,88000,debt_consolidation
6.03,5100,36,A,OWN,98000,credit_card
14.27,4800,36,C,RENT,48000,debt_consolidation
13.49,10000,36,C,RENT,132600,moving
6.62,10000,36,A,MORTGAGE,90000,home_improvement
7.51,12000,36,A,MORTGAGE,62000,credit_card
17.27,22000,60,D,MORTGAGE,114000,debt_consolidation
9.91,7000,36,B,RENT,45000,debt_consolidation
13.49,24000,60,C,MORTGAGE,55000,small_business
12.42,25000,60,B,MORTGAGE,100000,debt_consolidation
7.90,24000,36,A,RENT,60000,credit_card
7.90,3000,36,A,MORTGAGE,75000,credit_card
14.65,2000,36,C,RENT,46800,vacation
6.62,4000,36,A,RENT,65000,debt_consolidation
6.62,10000,36,A,RENT,90000,debt_consolidation
9.91,21200,36,B,MORTGAGE,95000,debt_consolidation
6.62,5600,36,A,RENT,55692,credit_card
21.28,9800,36,F,MORTGAGE,110400,other
6.03,1500,36,A,RENT,50400,other
15.96,28000,36,C,MORTGAGE,72000,home_improvement
19.42,3600,60,E,OWN,21456,other
15.27,13275,36,C,RENT,38040,debt_consolidation
12.69,30000,36,B,RENT,84000,debt_consolidation
14.27,4000,60,C,RENT,24000,car
9.91,12000,60,B,MORTGAGE,42000,debt_consolidation
14.27,2400,36,C,MORTGAGE,26000,credit_card
19.42,2200,60,E,RENT,63000,debt_consolidation
11.71,3500,36,B,RENT,33000,medical
10.99,35000,60,B,MORTGAGE,55000,debt_consolidation
7.90,28000,36,A,MORTGAGE,128600,home_improvement
6.03,7200,36,A,RENT,43108,medical
7.51,8100,36,A,RENT,85000,small_business
17.27,35000,60,D,MORTGAGE,72000,debt_consolidation
6.62,15000,36,A,MORTGAGE,55000,credit_card
7.90,4500,36,A,RENT,41700,medical
7.90,8000,36,A,RENT,26000,debt_consolidation
7.90,2600,36,A,RENT,100000,debt_consolidation
6.03,10000,36,A,RENT,121200,debt_consolidation
17.58,16600,60,D,RENT,79968,car
6.62,9000,36,A,MORTGAGE,84191,major_purchase
15.27,9600,36,C,MORTGAGE,84500,debt_consolidation
11.49,35000,60,B,RENT,92000,debt_consolidation
12.69,5375,36,B,RENT,23400,debt_consolidation
8.90,14000,60,A,OWN,72500,debt_consolidation
10.65,15000,60,B,MORTGAGE,140000,debt_consolidation
9.91,7000,36,B,RENT,96000,wedding
12.42,15000,60,B,RENT,30000,major_purchase
12.42,16000,60,B,MORTGAGE,96000,car
7.90,3350,36,A,RENT,36000,debt_consolidation
15.96,9000,36,C,MORTGAGE,78000,debt_consolidation
7.90,12800,36,A,RENT,77385.19,debt_consolidation
6.03,14825,36,A,MORTGAGE,72000,debt_consolidation
22.06,28600,60,F,MORTGAGE,60984,credit_card
8.90,14400,60,A,RENT,65000,debt_consolidation
17.58,12000,60,D,OWN,140000,renewable_energy
6.03,6425,36,A,MORTGAGE,113000,major_purchase
11.71,9375,36,B,RENT,30000,debt_consolidation
17.58,4150,60,D,OWN,33000,home_improvement
6.03,7500,36,A,RENT,55000,credit_card
12.42,13225,60,B,MORTGAGE,120000,debt_consolidation
7.51,15000,36,A,MORTGAGE,65000,credit_card
10.65,7875,36,B,MORTGAGE,55680,credit_card
7.51,4050,36,A,MORTGAGE,75000,credit_card
6.03,1500,36,A,MORTGAGE,60100,small_business
9.91,5500,36,B,RENT,72000,debt_consolidation
9.91,18000,36,B,MORTGAGE,180000,other
8.90,35000,36,A,MORTGAGE,151000,debt_consolidation
7.51,25000,36,A,RENT,65800,debt_consolidation
8.90,10000,36,A,OWN,52000,other
12.69,25000,36,B,MORTGAGE,74000,debt_consolidation
7.51,4200,36,A,RENT,40000,car
11.71,30000,36,B,MORTGAGE,140000,home_improvement
7.90,23450,36,A,MORTGAGE,95000,debt_consolidation
10.65,10000,36,B,RENT,96000,vacation
15.96,6500,60,C,RENT,35000,debt_consolidation
14.27,26000,36,C,RENT,85000,debt_consolidation
7.51,7125,36,A,MORTGAGE,99600,credit_card
16.77,3600,36,D,RENT,105000,vacation
9.91,5000,36,B,OWN,37000,major_purchase
11.71,12000,36,B,OWN,50000,debt_consolidation
19.42,15000,60,E,OWN,55824,debt_consolidation
7.51,5000,36,A,OWN,54080,debt_consolidation
7.90,24000,36,A,MORTGAGE,153660,debt_consolidation
20.89,35000,60,F,RENT,120000,debt_consolidation
7.51,11325,36,A,MORTGAGE,46700,debt_consolidation
11.71,13500,60,B,RENT,72000,credit_card
6.03,9150,36,A,MORTGAGE,122500,debt_consolidation
8.90,5400,36,A,RENT,36000,small_business
7.90,28000,36,A,MORTGAGE,250000,small_business
11.99,22000,60,B,MORTGAGE,60000,credit_card
20.89,4000,60,F,RENT,50000,debt_consolidation
17.27,16000,60,D,RENT,150000,credit_card
7.51,15000,36,A,RENT,65000,debt_consolidation
6.62,5200,36,A,MORTGAGE,49536,car
15.27,3500,36,C,OWN,32000,major_purchase
6.62,4500,36,A,RENT,39000,debt_consolidation
8.90,12000,36,A,RENT,30000,credit_card
21.67,24000,60,F,MORTGAGE,59000,medical
7.90,7000,36,A,RENT,33000,credit_card
13.49,35000,60,C,MORTGAGE,100000,small_business
16.29,1200,36,D,RENT,42000,major_purchase
6.62,12250,36,A,MORTGAGE,52833,debt_consolidation
11.71,7200,36,B,MORTGAGE,51800,credit_card
16.29,2000,36,D,OWN,24000,vacation
10.65,24000,60,B,MORTGAGE,100000,debt_consolidation
15.27,20000,60,C,MORTGAGE,102000,debt_consolidation
